req_id,area,feature,requirement_summary,test_case_ids,test_module,status,priority,notes
REQ-BE-AUTH-01,BE,Authentication,POST /auth with valid creds returns {token},TC-BE-AUTH-001,test_back_api_auth,automated,H,
REQ-BE-AUTH-02,BE,Authentication,POST /auth with invalid/missing creds → no token,TC-BE-AUTH-002/003/004/005/007,test_back_api_auth,automated,H,Hypothesis fuzz included (TC-BE-AUTH-007)
REQ-BE-AUTH-03,BE,Authentication,POST /auth requires Content-Type application/json,TC-BE-AUTH-006,test_back_api_auth,automated,M,
REQ-BE-PING-01,BE,Health,GET /ping returns 201,TC-BE-PING-001,test_back_api_ping,automated,M,
REQ-BE-BOOKING-01,BE,Bookings,GET /booking returns list of {bookingid},TC-BE-BOOK-001/002,test_back_api_booking,automated,H,
REQ-BE-BOOKING-02,BE,Bookings,GET /booking?firstname=&lastname= filters list,TC-BE-BOOK-018,test_back_api_booking,automated,L,
REQ-BE-BOOKING-03,BE,Bookings,GET /booking/{id} returns full booking object,TC-BE-BOOK-008,test_back_api_booking,automated,H,
REQ-BE-BOOKING-04,BE,Bookings,GET /booking/{id} for missing id → 404,TC-BE-BOOK-015,test_back_api_booking,automated,M,
REQ-BE-BOOKING-05,BE,Bookings,POST /booking creates booking (no token needed),TC-BE-BOOK-003/004/005/006/007,test_back_api_booking,automated,H,
REQ-BE-BOOKING-06,BE,Bookings,POST /booking response matches booking JSON schema,TC-BE-BOOK-007,test_back_api_booking,automated,H,
REQ-BE-BOOKING-07,BE,Bookings,PUT /booking/{id} with valid token replaces booking,TC-BE-BOOK-009,test_back_api_booking,automated,H,
REQ-BE-BOOKING-08,BE,Bookings,PUT /booking/{id} without token → 403,TC-BE-BOOK-012,test_back_api_booking,automated,H,
REQ-BE-BOOKING-09,BE,Bookings,PATCH /booking/{id} with valid token partially updates,TC-BE-BOOK-010,test_back_api_booking,automated,H,
REQ-BE-BOOKING-10,BE,Bookings,PATCH /booking/{id} without token → 403,TC-BE-BOOK-013,test_back_api_booking,automated,H,
REQ-BE-BOOKING-11,BE,Bookings,DELETE /booking/{id} with token → 201; booking 404s,TC-BE-BOOK-011,test_back_api_booking,automated,H,
REQ-BE-BOOKING-12,BE,Bookings,DELETE /booking/{id} without token → 403,TC-BE-BOOK-014,test_back_api_booking,automated,H,
REQ-BE-BOOKING-13,BE,Bookings,POST /booking with missing field / bad date → rejected,TC-BE-BOOK-016/017,test_back_api_booking,automated,H,
REQ-BE-BOOKING-14,BE,Bookings,POST→GET round-trip: every field matches submitted value,TC-BE-BOOK-020/021,test_back_api_booking,automated,H,
REQ-BE-BOOKING-15,BE,Bookings,Single auth token valid across multiple writes,TC-BE-BOOK-024,test_back_api_booking,automated,M,
REQ-BE-BOOKING-16,BE,Bookings,SUT accepts inverted dates and far-future dates,TC-BE-BOOK-025/026,test_back_api_booking,automated,L,Documented SUT quirk
REQ-BE-BOOKING-17,BE,Bookings,GET /booking?firstname= with no match → empty list,TC-BE-BOOK-027,test_back_api_booking,automated,M,
REQ-BE-BOOKING-18,BE,Bookings,PATCH leaves unpatched fields unchanged,TC-BE-BOOK-022/023,test_back_api_booking,automated,H,
REQ-BE-CONTRACT-01,BE,Contract,All booking responses match declared JSON Schema,TC-BE-CONTRACT-001/002/003/004/005,test_api_contract,automated,H,
REQ-BE-CONTRACT-02,BE,Contract,POST /auth responses match JSON Schema,TC-BE-CONTRACT-005/006,test_api_contract,automated,H,
REQ-BE-CONTRACT-03,BE,Contract,All booking+auth responses have Content-Type application/json,TC-BE-CONTRACT-007,test_api_contract,automated,M,
REQ-FE-AUTH-01,FE,Authentication,POST /api/auth/login valid creds → 200 + {token},TC-FE-AUTH-001/004,test_front_api_auth,automated,H,
REQ-FE-AUTH-02,FE,Authentication,POST /api/auth/login invalid creds → 401,TC-FE-AUTH-002/003,test_front_api_auth,automated,H,Hypothesis fuzz included (TC-FE-AUTH-003)
REQ-FE-AUTH-03,FE,Authentication,Token validation endpoint accepts valid / rejects tampered token,TC-FE-AUTH-005,test_front_api_auth,automated,M,
REQ-FE-AUTH-04,FE,Authentication,Logout invalidates the token,TC-FE-AUTH-006,test_front_api_auth,automated,M,
REQ-FE-ROOM-01,FE,Rooms,GET /api/room returns room list,TC-FE-ROOM-001,test_front_api_rooms,automated,H,
REQ-FE-ROOM-02,FE,Rooms,GET /api/room/{id} returns room details,TC-FE-ROOM-002,test_front_api_rooms,automated,M,
REQ-FE-ROOM-03,FE,Rooms,POST /api/room with token creates room,TC-FE-ROOM-003,test_front_api_rooms,automated,M,
REQ-FE-ROOM-04,FE,Rooms,DELETE /api/room/{id} with token deletes room,TC-FE-ROOM-004,test_front_api_rooms,automated,M,
REQ-FE-BOOKING-01,FE,Bookings,GET /api/booking?roomid= with token returns bookings,TC-FE-BOOK-003,test_front_api_booking,automated,M,
REQ-FE-BOOKING-02,FE,Bookings,POST /api/booking creates reservation (public Book now flow),TC-FE-BOOK-001,test_front_api_booking,automated,H,
REQ-FE-BOOKING-03,FE,Bookings,POST /api/booking with overlapping dates → rejected,TC-FE-BOOK-002,test_front_api_booking,automated,H,
REQ-FE-BRANDING-01,FE,Branding,GET /api/branding returns current B&B details,TC-FE-BRAND-001,test_front_api_branding,automated,M,
REQ-FE-MESSAGE-01,FE,Messages,POST /api/message sends a contact message,TC-FE-MSG-001,test_front_api_message,automated,M,
REQ-FE-MESSAGE-02,FE,Messages,GET /api/message with token lists all messages,TC-FE-MSG-002,test_front_api_message,automated,M,
REQ-FE-REPORT-01,FE,Report,GET /api/report with token returns booking summary,TC-FE-REPORT-001,test_front_api_report,automated,M,
REQ-UI-HOME-01,UI,Home page,Footer element renders on public home page,TC-UI-HOME-001,test_home_page,automated,H,
REQ-UI-HOME-02,UI,Home page,Four footer links carry correct text and href,TC-UI-HOME-002,test_home_page,automated,H,
REQ-UI-HOME-03,UI,Home page,Each nav link anchors to a named page section,TC-UI-HOME-003,test_home_page,automated,M,
REQ-UI-HOME-04,UI,Home page,Admin link in nav and footer both point to /admin,TC-UI-HOME-004,test_home_page,automated,M,
REQ-UI-CONTACT-01,UI,Contact form,Valid contact form submit shows confirmation,TC-UI-CONTACT-001,test_home_page,automated,H,
REQ-UI-CONTACT-02,UI,Contact form,Empty contact form submit shows field validation errors,TC-UI-CONTACT-002,test_home_page,automated,H,
REQ-UI-RES-01,UI,Reservation,Every Book now link targets /reservation/{id},TC-UI-RES-001,test_home_page,automated,H,
REQ-UI-RES-02,UI,Reservation,Reservation page shows calendar and Reserve Now button,TC-UI-RES-002,test_home_page,automated,H,
REQ-UI-LOGIN-01,UI,Admin login,Valid credentials open the admin area,TC-UI-LOGIN-001,test_login_page,automated,H,
REQ-UI-LOGIN-02,UI,Admin login,Invalid credentials show error and keep the form,TC-UI-LOGIN-002,test_login_page,automated,H,
REQ-UI-LOGIN-03,UI,Admin login,Username/password fields have correct placeholder text,TC-UI-LOGIN-003,test_login_page,automated,M,
REQ-UI-NAV-01,UI,Admin navigation,Post-login navbar shows all admin section links,TC-UI-NAV-001,test_login_page,automated,H,
REQ-UI-NAV-02,UI,Admin navigation,Navbar brand text is correct,TC-UI-NAV-002,test_login_page,automated,L,
REQ-UI-NAV-03,UI,Admin navigation,Logout clears session; re-visiting /admin shows login form,TC-UI-NAV-003,test_login_page,automated,H,
REQ-UI-ROOMS-01,UI,Admin rooms,Rooms table lists at least one room with a create button,TC-UI-ROOMS-001,test_login_page,automated,H,
REQ-UI-ROOMS-02,UI,Admin rooms,Create room via UI — appears in table and via API,TC-UI-ROOMS-002,test_login_page,automated,H,
REQ-UI-ROOMS-03,UI,Admin rooms,Delete room via UI — row disappears from table,TC-UI-ROOMS-003,test_login_page,xfail,H,SUT drift: React modal for confirmation (KI-09)
REQ-UI-BRAND-01,UI,Admin branding,Branding page loads with all B&B fields populated,TC-UI-BRAND-001,test_login_page,automated,M,
REQ-UI-REPORT-01,UI,Admin report,Report page renders a calendar view,TC-UI-REPORT-001,test_login_page,automated,M,
REQ-UI-MSG-01,UI,Admin messages,Messages inbox shows at least one message with content,TC-UI-MSG-001,test_login_page,automated,M,
REQ-UI-A11Y-01,UI,Accessibility,html element carries lang attribute (WCAG 3.1.1),TC-UI-A11Y-001,test_home_page,automated,M,
REQ-UI-SEC-01,UI,Browser security,Password input type=password,TC-UI-SEC-001,test_login_page,automated,H,
REQ-UI-SEC-02,UI,Browser security,Password autocomplete not 'on',TC-UI-SEC-002,test_login_page,automated,M,
REQ-UI-SEC-03,UI,Browser security,Login page has no JS console errors,TC-UI-SEC-003,test_login_page,automated,M,
REQ-UI-SEC-04,UI,Browser security,Auth cookie has HttpOnly flag,TC-UI-SEC-004,test_login_page,xfail,H,SUT regression: HttpOnly removed from cookie (KI-06)
REQ-UI-SEC-05,UI,Browser security,Logout clears auth-related localStorage/sessionStorage,TC-UI-SEC-005,test_login_page,automated,H,
REQ-UI-SEC-10,UI,Browser security,X-Content-Type-Options: nosniff header present,TC-UI-SEC-010,test_home_page,xfail,M,SUT regression: header removed (KI-07)
REQ-UI-SEC-11,UI,Browser security,X-Frame-Options or CSP frame-ancestors present (clickjacking),TC-UI-SEC-011,test_home_page,xfail,M,SUT regression: header removed (KI-08)
REQ-UI-SEC-12,UI,Browser security,Home page has no JS console errors,TC-UI-SEC-012,test_home_page,automated,M,
REQ-UI-SEC-13,UI,Browser security,UI degrades gracefully when API returns empty room list,TC-UI-SEC-013,test_home_page,automated,M,Route interception (Playwright)
